id;bolum_baslik;dokuman;puan;video_link;sure;sira
1;Fantastic;../fake-data/blob/hipster.txt;92074;Rubber Fresh;Track Engineer;41997
2;deposit Shoes visualize;../fake-data/blob/hipster.txt;80467;capacitor Checking invoice;Shoes Manager;68991
3;Hill;../fake-data/blob/hipster.txt;50393;COM;Singapore needs-based;81338
4;Gloves Gorgeous collaborative;../fake-data/blob/hipster.txt;58760;Metal e-business turquoise;Alaska unleash Coordinator;23677
5;Function-based Accounts up;../fake-data/blob/hipster.txt;82806;e-commerce;success optical Operative;25205
6;orange invoice;../fake-data/blob/hipster.txt;86239;Ergonomic Vermont synthesize;Future Ridges Cambridgeshire;34644
7;optimizing Refined;../fake-data/blob/hipster.txt;39026;Chicken overriding;Concrete back-end reciprocal;33128
8;Buckinghamshire COM;../fake-data/blob/hipster.txt;95977;Square;program sensor;36892
9;Credit transmitter;../fake-data/blob/hipster.txt;45277;maximize calculate payment;Profound;24754
10;Granite ivory;../fake-data/blob/hipster.txt;35247;calculating deposit Chips;Dinar;78485
