id;isim;toplam_puan;olusturulma_tarih;aciklama;resim;resim_content_type
1;Virginia;47313;2022-03-10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;dynamic system;5070;2022-03-10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;Officer yellow Account;80477;2022-03-10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;Quality;47739;2022-03-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;indexing Vietnam;70008;2022-03-10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;matrix;69000;2022-03-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;hacking Metal;42312;2022-03-10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;cross-media markets;18935;2022-03-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;interface Chips;85926;2022-03-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;index Multi-tiered Operations;16620;2022-03-10;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
