id;title;content;date;foto;foto_content_type
1;Credit virtual;../fake-data/blob/hipster.txt;2022-03-10T11:19:09;../fake-data/blob/hipster.png;image/png
2;challenge International optical;../fake-data/blob/hipster.txt;2022-03-10T16:00:35;../fake-data/blob/hipster.png;image/png
3;Jewelery Russian Turkmenistan;../fake-data/blob/hipster.txt;2022-03-10T09:25:01;../fake-data/blob/hipster.png;image/png
4;withdrawal;../fake-data/blob/hipster.txt;2022-03-10T20:23:52;../fake-data/blob/hipster.png;image/png
5;schemas Unbranded;../fake-data/blob/hipster.txt;2022-03-10T10:37:04;../fake-data/blob/hipster.png;image/png
6;Dynamic;../fake-data/blob/hipster.txt;2022-03-10T12:45:07;../fake-data/blob/hipster.png;image/png
7;innovate e-tailers Intranet;../fake-data/blob/hipster.txt;2022-03-10T21:14:01;../fake-data/blob/hipster.png;image/png
8;Plastic Balboa International;../fake-data/blob/hipster.txt;2022-03-10T17:33:07;../fake-data/blob/hipster.png;image/png
9;payment moratorium Liaison;../fake-data/blob/hipster.txt;2022-03-10T22:56:04;../fake-data/blob/hipster.png;image/png
10;real-time Roads;../fake-data/blob/hipster.txt;2022-03-10T19:11:53;../fake-data/blob/hipster.png;image/png
