id;name;type;img;img_content_type
1;Towels Spur bluetooth;Falls functionalities;../fake-data/blob/hipster.png;image/png
2;Integration;Buckinghamshire executive quantifying;../fake-data/blob/hipster.png;image/png
3;Concrete Account;3rd Chicken;../fake-data/blob/hipster.png;image/png
4;Shilling;orchestrate e-markets;../fake-data/blob/hipster.png;image/png
5;payment Sleek e-business;encompassing synergistic;../fake-data/blob/hipster.png;image/png
6;time-frame payment e-services;Legacy neural-net;../fake-data/blob/hipster.png;image/png
7;bi-directional;Beauty indexing;../fake-data/blob/hipster.png;image/png
8;partnerships;Fantastic Granite;../fake-data/blob/hipster.png;image/png
9;Awesome Facilitator;online Product;../fake-data/blob/hipster.png;image/png
10;vertical framework solid;copying Saint;../fake-data/blob/hipster.png;image/png
