id;rozet_ismi;rozet_resim;rozet_resim_content_type
1;Shoes Credit Rubber;../fake-data/blob/hipster.png;image/png
2;primary payment Senior;../fake-data/blob/hipster.png;image/png
3;e-commerce;../fake-data/blob/hipster.png;image/png
4;monitoring withdrawal Sleek;../fake-data/blob/hipster.png;image/png
5;Future Analyst;../fake-data/blob/hipster.png;image/png
6;calculating;../fake-data/blob/hipster.png;image/png
7;Paradigm mindshare;../fake-data/blob/hipster.png;image/png
8;Michigan Open-source Front-line;../fake-data/blob/hipster.png;image/png
9;Plaza Grocery Adaptive;../fake-data/blob/hipster.png;image/png
10;Loop;../fake-data/blob/hipster.png;image/png
